instance,p,n,configLB,configNodeSel,configOB,solved,YN,cpuTotal,nbLpSolved,cpuInitialization,cpuCplex,cpuUpdatePolyhedron,nbNodes,minDepth,maxDepth,avgDepth,nbFathomedInfeas,nbFathomedOptimality,nbFathomedDominance,cpuDominanceTest,cpuUbUpdate,cpuLbComputation,cpuComputeOb,cpuVarSel,cpuNodeSel
Forget21-UFLP_4_3_1-1000_1-100_spheredown_1_1.txt,3,20,LP,breadth,coneOB,1,96,2.21935,7245,0.103382,1.90322,0.0772391,625,5,13,9.33227,217,77,19,0.0087239,0.0081975,2.16448,0.0004803,0.0116819,0.000162
Forget21-UFLP_4_3_1-1000_1-100_spheredown_1_1.txt,3,20,WLP,breadth,coneOB,1,96,1.10177,4424,0.0008744,0.888452,0.0596938,623,5,13,9.33654,216,77,19,0.0067895,0.0035023,1.00428,0.000364,0.0286938,0.0001746
Forget21-UFLP_4_3_1-1000_1-100_spheredown_1_2.txt,3,20,LP,breadth,coneOB,1,108,1.67501,6959,0.0743928,1.42642,0.0547439,583,5,15,9.17466,213,60,19,0.0061907,0.0068027,1.61401,0.0004033,0.0090205,0.0001134
Forget21-UFLP_4_3_1-1000_1-100_spheredown_1_2.txt,3,20,WLP,breadth,coneOB,1,108,0.935605,3821,0.001134,0.762703,0.0515774,583,5,15,9.17466,213,60,19,0.0059277,0.0028442,0.867276,0.0003891,0.0262142,0.0001544
Forget21-UFLP_4_3_1-1000_1-100_spheredown_1_3.txt,3,20,LP,breadth,coneOB,1,129,1.73368,7708,0.0824927,1.45679,0.0583722,679,5,13,9.15588,245,82,13,0.0090999,0.0077539,1.66253,0.0005121,0.0118771,0.0001508
Forget21-UFLP_4_3_1-1000_1-100_spheredown_1_3.txt,3,20,WLP,breadth,coneOB,1,129,1.12138,4347,0.0014729,0.89872,0.06112,679,5,13,9.15588,245,82,13,0.0109936,0.0041962,1.02307,0.0006397,0.0346696,0.0001959
Forget21-UFLP_4_4_1-1000_1-100_spheredown_1_1.txt,4,20,LP,breadth,coneOB,1,168,6.46072,24903,0.177756,4.97671,0.791118,1193,6,16,10.4087,292,296,9,0.148055,0.025407,6.09776,0.006462,0.068184,0.0005036
Forget21-UFLP_4_4_1-1000_1-100_spheredown_1_1.txt,4,20,WLP,breadth,coneOB,1,168,3.69535,11564,0.0010233,2.30862,0.767902,1135,6,15,10.2342,294,262,12,0.149585,0.0116902,3.19567,0.0060744,0.179471,0.0004144
Forget21-UFLP_4_4_1-1000_1-100_spheredown_1_2.txt,4,20,LP,breadth,coneOB,1,206,6.82072,26656,0.185814,5.17991,0.762725,1361,4,16,10.5844,384,288,9,0.243234,0.0314213,6.29623,0.0094832,0.0970777,0.0004975
Forget21-UFLP_4_4_1-1000_1-100_spheredown_1_2.txt,4,20,WLP,breadth,coneOB,1,206,4.34496,13466,0.0006752,2.68559,0.84179,1361,4,16,10.5844,384,288,9,0.239171,0.0156087,3.66996,0.0096894,0.230666,0.0005268
Forget21-UFLP_4_4_1-1000_1-100_spheredown_1_3.txt,4,20,LP,breadth,coneOB,1,168,5.64101,21994,0.14278,4.27643,0.665833,1063,6,16,10.4605,290,228,14,0.181742,0.0256171,5.22236,0.0066388,0.066748,0.0004151
Forget21-UFLP_4_4_1-1000_1-100_spheredown_1_3.txt,4,20,WLP,breadth,coneOB,1,168,3.99269,11463,0.0011726,2.5605,0.758076,1063,6,16,10.4605,290,228,14,0.204012,0.0138519,3.44167,0.0075037,0.186822,0.0004744
Forget21-UFLP_5_3_1-1000_1-100_spheredown_1_1.txt,3,30,LP,breadth,coneOB,1,438,11.8175,58901,0.438737,9.69251,0.376491,3813,5,20,12.7756,1287,359,261,0.394824,0.0901512,10.9322,0.0098697,0.177354,0.0012444
Forget21-UFLP_5_3_1-1000_1-100_spheredown_1_2.txt,3,30,LP,breadth,coneOB,1,450,14.4466,73396,0.454106,11.9548,0.426312,4329,5,20,12.4767,1617,296,252,0.519988,0.105601,13.3267,0.0124481,0.202289,0.0015695
Forget21-UFLP_5_3_1-1000_1-100_spheredown_1_1.txt,3,30,WLP,breadth,coneOB,1,438,8.53349,38870,0.0004551,6.72509,0.385163,3817,5,20,12.7821,1288,360,261,0.409633,0.0394315,7.48537,0.010582,0.317141,0.001318
Forget21-UFLP_5_3_1-1000_1-100_spheredown_1_2.txt,3,30,WLP,breadth,coneOB,1,450,9.7959,45724,0.0006145,7.63719,0.455339,4323,5,20,12.4755,1614,296,252,0.549683,0.0469023,8.52317,0.0124276,0.348994,0.0015862
Forget21-UFLP_5_3_1-1000_1-100_spheredown_1_3.txt,3,30,LP,breadth,coneOB,1,416,11.6379,60263,0.394182,9.65516,0.359648,3755,5,18,12.4681,1290,361,227,0.323877,0.0823773,10.8288,0.0091894,0.15954,0.0014031
Forget21-UFLP_5_3_1-1000_1-100_spheredown_1_3.txt,3,30,WLP,breadth,coneOB,1,416,8.56596,39212,0.0007661,6.77579,0.408686,3751,5,18,12.4654,1290,361,225,0.354907,0.0360007,7.5942,0.010854,0.302637,0.0015922
Forget21-UFLP_5_4_1-1000_1-100_spheredown_1_1.txt,4,30,LP,breadth,coneOB,1,1250,158.675,362562,1.38935,64.3709,10.3265,11713,8,24,14.2539,3543,1821,493,68.9247,1.20167,78.3038,1.62423,4.89075,0.0073617
Forget21-UFLP_5_4_1-1000_1-100_spheredown_1_1.txt,4,30,WLP,breadth,coneOB,1,1250,145.939,191078,0.0030233,44.7037,11.3958,11727,8,24,14.2532,3558,1819,487,72.2583,0.577592,58.3547,1.97821,7.5302,0.0073769
Forget21-UFLP_5_4_1-1000_1-100_spheredown_1_2.txt,4,30,LP,breadth,coneOB,1,1263,196.081,365192,1.75816,88.7931,10.7828,12519,7,24,14.4107,3912,1945,403,78.366,1.32358,104.379,1.83621,5.4449,0.0078239
Forget21-UFLP_5_4_1-1000_1-100_spheredown_1_2.txt,4,30,WLP,breadth,coneOB,1,1263,160.414,188342,0.0005077,51.1863,9.45655,12503,7,24,14.406,3907,1942,403,74.7502,0.592505,62.7855,1.36686,6.76562,0.0069381
