instance,p,n,configLB,configNodeSel,configOB,configValSplit,solved,YN,cpuTotal,nbLpSolved,cpuInitialization,cpuCplex,cpuUpdatePolyhedron,nbNodes,minDepth,maxDepth,avgDepth,nbFathomedInfeas,nbFathomedOptimality,nbFathomedDominance,cpuDominanceTest,cpuUbUpdate,cpuLbComputation,cpuComputeOb,cpuVarSel,cpuNodeSel
Forget21-UFLP_3_5_1-1000_1-100_spheredown_1_1.txt,5,12,LP,depth,noOB,mofv,1,25,0.775942,2643,0.135752,0.475928,0.136926,195,2,11,8.58163,59,39,0,0.0005538,0.0036892,0.762933,3.4e-05,0.0008167,4.49e-05
Forget21-UFLP_3_5_1-1000_1-100_spheredown_1_1.txt,5,12,LP,depth,coneOB,mofv,1,25,0.650449,2391,0.10722,0.389799,0.122142,167,2,11,8.29762,50,34,0,0.0046968,0.0034314,0.630009,0.0002377,0.0029962,4.1e-05
Forget21-UFLP_3_5_1-1000_1-100_spheredown_1_1.txt,5,12,LP,depth,fullOB,mofv,1,25,1.16842,2391,0.193105,0.702796,0.212121,167,2,11,8.29762,50,34,0,0.0069182,0.0049572,1.129,0.0079313,0.0057337,4.38e-05
Forget21-UFLP_3_5_1-1000_1-100_spheredown_1_1.txt,5,12,LP,breadth,noOB,mofv,1,25,0.791154,2643,0.141653,0.472845,0.148645,195,2,11,8.58163,59,39,0,0.0006316,0.0031813,0.777348,2.94e-05,0.0009763,3.8e-05
Forget21-UFLP_3_5_1-1000_1-100_spheredown_1_1.txt,5,12,LP,breadth,coneOB,mofv,1,25,0.704894,2391,0.112479,0.414784,0.14422,167,2,11,8.29762,50,34,0,0.0048249,0.0036642,0.682435,0.0002976,0.0033599,3.89e-05
Forget21-UFLP_3_5_1-1000_1-100_spheredown_1_1.txt,5,12,LP,breadth,fullOB,mofv,1,25,0.635972,2391,0.0995081,0.370652,0.126839,167,2,11,8.29762,50,34,0,0.0045175,0.0029421,0.607833,0.0053888,0.0033516,6.57e-05
Forget21-UFLP_3_5_1-1000_1-100_spheredown_1_1.txt,5,12,WLP,depth,noOB,mofv,1,25,0.397079,965,0.0026906,0.219593,0.146431,195,2,11,8.58163,59,39,0,0.0004329,0.001695,0.378715,3.4e-05,0.0080767,1.95e-05
Forget21-UFLP_3_5_1-1000_1-100_spheredown_1_1.txt,5,12,WLP,depth,coneOB,mofv,1,25,0.417159,951,0.0018453,0.231286,0.146081,167,2,11,8.29762,50,34,0,0.0043311,0.0023696,0.388267,0.0002387,0.0125819,3.99e-05
Forget21-UFLP_3_5_1-1000_1-100_spheredown_1_1.txt,5,12,WLP,depth,fullOB,mofv,1,25,0.426687,951,0.0015591,0.232036,0.149693,167,2,11,8.29762,50,34,0,0.0039254,0.002124,0.392438,0.0046839,0.0123709,2.7e-05
Forget21-UFLP_3_5_1-1000_1-100_spheredown_1_1.txt,5,12,WLP,breadth,noOB,mofv,1,25,0.443798,965,0.0019837,0.237716,0.173101,195,2,11,8.58163,59,39,0,0.0006277,0.0026889,0.421544,3.03e-05,0.0086959,3.78e-05
Forget21-UFLP_3_5_1-1000_1-100_spheredown_1_1.txt,5,12,WLP,breadth,coneOB,mofv,1,25,0.387956,951,0.0013465,0.205019,0.145569,167,2,11,8.29762,50,34,0,0.0041986,0.0013844,0.360502,0.0002675,0.0104735,3.3e-05
Forget21-UFLP_3_5_1-1000_1-100_spheredown_1_1.txt,5,12,WLP,breadth,fullOB,mofv,1,25,0.417614,951,0.0012991,0.223689,0.151931,167,2,11,8.29762,50,34,0,0.004212,0.0025143,0.385702,0.0050967,0.011628,5.54e-05
Forget21-UFLP_3_5_1-1000_1-100_spheredown_1_10.txt,5,12,LP,depth,noOB,mofv,1,27,0.663041,2728,0.111984,0.404978,0.117704,199,3,11,8.54,61,39,0,0.0006498,0.0041001,0.647811,3.29e-05,0.0009211,2.31e-05
Forget21-UFLP_3_5_1-1000_1-100_spheredown_1_10.txt,5,12,LP,depth,coneOB,mofv,1,27,0.819109,2611,0.133611,0.49905,0.145967,187,3,11,8.41489,59,35,0,0.0065742,0.0050686,0.792577,0.0004678,0.004698,3.09e-05
Forget21-UFLP_3_5_1-1000_1-100_spheredown_1_10.txt,5,12,LP,depth,fullOB,mofv,1,27,0.782934,2611,0.131149,0.468254,0.138155,187,3,11,8.41489,59,35,0,0.0062991,0.003511,0.750756,0.0082944,0.0044802,2.72e-05
Forget21-UFLP_3_5_1-1000_1-100_spheredown_1_10.txt,5,12,LP,breadth,noOB,mofv,1,27,0.72573,2728,0.11991,0.445163,0.134343,199,3,11,8.54,61,39,0,0.0005584,0.0036191,0.711731,2.58e-05,0.0008009,4.42e-05
Forget21-UFLP_3_5_1-1000_1-100_spheredown_1_10.txt,5,12,LP,breadth,coneOB,mofv,1,27,0.696563,2611,0.111823,0.418971,0.12813,187,3,11,8.41489,59,35,0,0.005518,0.0030585,0.671801,0.0003499,0.0044292,4.8e-05
Forget21-UFLP_3_5_1-1000_1-100_spheredown_1_10.txt,5,12,LP,breadth,fullOB,mofv,1,27,0.70928,2611,0.110161,0.429106,0.125888,187,3,11,8.41489,59,35,0,0.006415,0.0030801,0.677598,0.0068788,0.0045817,4.42e-05
Forget21-UFLP_3_5_1-1000_1-100_spheredown_1_10.txt,5,12,WLP,depth,noOB,mofv,1,27,0.380659,985,0.0022454,0.214865,0.13135,199,3,11,8.54,61,39,0,0.0005219,0.0022043,0.359292,3.59e-05,0.0089614,3.8e-05
Forget21-UFLP_3_5_1-1000_1-100_spheredown_1_10.txt,5,12,WLP,depth,coneOB,mofv,1,27,0.401138,996,0.0012573,0.219055,0.137066,187,3,11,8.41489,59,35,0,0.005221,0.0030503,0.367267,0.0003666,0.0130814,2.92e-05
Forget21-UFLP_3_5_1-1000_1-100_spheredown_1_10.txt,5,12,WLP,depth,fullOB,mofv,1,27,0.415689,996,0.0029672,0.224933,0.139633,187,3,11,8.41489,59,35,0,0.0054553,0.0021169,0.376711,0.0068693,0.0126462,3.71e-05
Forget21-UFLP_3_5_1-1000_1-100_spheredown_1_10.txt,5,12,WLP,breadth,noOB,mofv,1,27,0.403043,985,0.0013638,0.222337,0.145559,199,3,11,8.54,61,39,0,0.0007059,0.0019114,0.379428,3.87e-05,0.0103642,5.97e-05
Forget21-UFLP_3_5_1-1000_1-100_spheredown_1_10.txt,5,12,WLP,breadth,coneOB,mofv,1,27,0.448133,996,0.0016391,0.238975,0.160878,187,3,11,8.41489,59,35,0,0.006284,0.0025914,0.411812,0.0004602,0.014139,4.97e-05
Forget21-UFLP_3_5_1-1000_1-100_spheredown_1_10.txt,5,12,WLP,breadth,fullOB,mofv,1,27,0.42578,996,0.0025648,0.220322,0.154329,187,3,11,8.41489,59,35,0,0.005979,0.0028844,0.386153,0.0059742,0.0137021,5.03e-05
Forget21-UFLP_3_5_1-1000_1-100_spheredown_1_2.txt,5,12,LP,depth,noOB,mofv,1,25,0.762068,2831,0.134688,0.477955,0.120466,199,2,11,8.78,58,41,1,0.0009029,0.0033661,0.748077,3.53e-05,0.0008431,2.41e-05
Forget21-UFLP_3_5_1-1000_1-100_spheredown_1_2.txt,5,12,LP,depth,coneOB,mofv,1,25,0.692749,2527,0.109722,0.437484,0.114713,173,2,11,8.2069,56,31,0,0.0028072,0.002348,0.673561,0.000237,0.002722,2.46e-05
Forget21-UFLP_3_5_1-1000_1-100_spheredown_1_2.txt,5,12,LP,depth,fullOB,mofv,1,25,0.661514,2548,0.10633,0.414628,0.106933,179,2,11,8.05435,62,30,0,0.0029828,0.0028246,0.64014,0.0027649,0.0029432,2.13e-05
